"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"CONTRACT-01","P0","1","backend","Define portable session and view contracts","Add initialization state/results, capability categories, session options, resource mappings, host request/result types, and the replacement public methods without compatibility shims.","WHEN public headers are compiled THEN Initializing Ready Failed Closed, initialization completion, attach/detach, host file/download contracts, resource mappings and capability queries are expressible without native types; WHEN obsolete permissionSupport/downloadSupport or old factory signatures are searched THEN no compatibility overload remains; ref: docs/specs/2026-08-15-portable-webview-contract.md:45","CONTRACT","","","Check types remain Qt/C++ only and ownership/completion signatures cannot outlive closed views accidentally.","Verify every removed public API has a complete replacement and no platform type leaks into src/webview.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:45; src/webview/IWebView.h:11; src/webview/IWebViewSession.h:12","execution_scope:approved spec全文; claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-005,CLAIM-007; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:unit; production_path:not_required; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; out_of_scope:Non-goals;Windows WebView2 backend vcpkg and Runtime publication; done_at:2026-08-15; evidence:cmake --build build/debug and ctest core/session 2/2 passed; risk:low; picked_reason:public contract blocks all downstream implementation"
"STATE-01","P0","2","backend","Extract shared lifecycle and bridge state","Move close guards, initialization queueing, navigation generation/id, committed main-frame URL, document token and bridge authorization into platform-neutral internal state used by macOS.","WHEN lifecycle unit tests run THEN initialization work queues until Ready, failure completes explicitly, close suppresses callbacks and navigation changes invalidate old completions; WHEN macOS sources are inspected THEN portable lifecycle fields are not redefined in a macOS-only NativeState; WHEN bridge input is evaluated THEN main-frame committed-origin token size and schema gates run before host dispatch; ref: docs/specs/2026-08-15-portable-webview-contract.md:53","AUTOSERVER","","","Check state transitions are monotonic, callbacks are not invoked after close, and native identifiers remain platform-local.","Re-run hostile payload, iframe, stale-token, overlapping navigation and session destruction tests.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:53; src/platform/macos/WkWebView.mm:91; src/webview/DocumentLifetime.h:7","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-005,CLAIM-006,CLAIM-008,CLAIM-009; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; evidence:WebViewState unit queue and core/session 2/2 passed; risk:medium"
"HOST-01","P0","3","both","Wire public native attachment lifecycle","Implement IWebView attach/detach in macOS and update the demo and popup layout path to use only the public interface after final Qt geometry.","WHEN the demo creates root and popup tabs THEN it includes only public headers and calls IWebView attach after layout activation; WHEN a detached or attached view closes THEN cleanup is idempotent; WHEN popup integration runs THEN first native bounds equal the final nonzero host bounds without backend guessing attachment timing; ref: docs/specs/2026-08-15-portable-webview-contract.md:37","AUTOE2E","","","Check attach/detach are idempotent and do not create a native handle before explicit attach.","Search for WkWebView casts in demo and cross-platform paths; verify root, popup, resize, detach and close behavior.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:37; samples/demo/DemoWindow.cpp:103; src/platform/macos/WkWebView.mm:506","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-001,CLAIM-003,CLAIM-004; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:integration; production_path:covered; picked_reason:removes the only demo concrete backend cast; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; validation_limited:no WindowServer or screens for real view test; validation_gap:popup final native geometry | public attach path and build/core/session checks | GUI popup geometry not observed; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; evidence:demo and tests no longer cast WkWebView; risk:medium"
"POPUP-01","P0","4","backend","Replace popup handoff with a portable host contract","Make host acceptance and child ownership explicit while keeping native WK configuration and synchronous popup requirements private to the macOS backend.","WHEN policy allows and host accepts a popup THEN the child shares session state, transfers ownership, enters its final Qt layout and attaches explicitly; WHEN callback is missing rejects or leaves the child unclaimed THEN native popup creation is cancelled; WHEN public headers are searched THEN no void pointer or WK configuration appears; ref: docs/specs/2026-08-15-portable-webview-contract.md:67","AUTOE2E","","","Check the acceptance result and unique_ptr transfer cannot report accepted while leaving ambiguous ownership.","Re-run allowed/rejected popup tests, shared-session checks and session-destruction cleanup.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:67; src/platform/macos/WkWebView.mm:209; src/webview/WebViewTypes.h:74","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-010; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; evidence:public popup disposition and WebViewPtr ownership compile; core/session 2/2 passed; validation_limited:GUI popup execution unavailable due no screens; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; risk:medium"
"HOST-02","P0","5","backend","Move file and download decisions to the host","Add portable asynchronous file selection and download target callbacks; remove NSOpenPanel creation and implicit download destination decisions from macOS.","WHEN a main-frame file request occurs THEN policy authorizes it and the host callback alone supplies paths or cancellation; WHEN no callback or a denied result exists THEN native completion cancels; WHEN download is allowed by policy THEN the host explicitly chooses cancel browser-default or target path and backend follows that result; WHEN macOS sources are searched THEN NSOpenPanel is absent; ref: docs/specs/2026-08-15-portable-webview-contract.md:73","AUTOE2E","","","Check completions are one-shot, close-safe and main-frame/origin scoped; ensure browser-default is explicit rather than fallback.","Cover callback absence, deny, cancellation, default handling, explicit destination and close races; verify capability reports match the implemented modes.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:73; src/platform/macos/WkWebView.mm:249; src/webview/WebViewTypes.h:45","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-007,CLAIM-011,CLAIM-012; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:integration; production_path:covered; picked_reason:host-owned UI decisions must precede platform mapping; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; evidence:NSOpenPanel absent, host resolver required, DownloadTarget capability Unsupported, core/session 2/2 passed; validation_limited:GUI file chooser and real download unavailable without WindowServer/page test; validation_gap:file/download user flow | static source and compile/core/session | real dialog/download not observed; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; risk:medium"
"RESOURCE-01","P1","6","backend","Define explicit resource mapping and HTML semantics","Wire session resource mappings and backend capability checks into setHtml so base origins are authorized and representable without URL rewriting or hidden servers.","WHEN a session is configured with resource mappings THEN mappings are retained in portable session options and capability is explicit; WHEN setHtml receives a base URL THEN policy and backend representability are checked before load; WHEN mapping is absent or unsupported THEN an explicit failure is observable and no URL rewrite local server or guessed directory occurs; ref: docs/specs/2026-08-15-portable-webview-contract.md:79","CONTRACT","","","Check mapping roots and origins are validated without granting broader file or bridge authority.","Test allowed app/HTTPS base URLs, rejected bases, unsupported mappings and unchanged trusted-origin bridge behavior.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:79; src/platform/macos/WkWebView.mm:525; src/webview/WebViewPolicy.cpp:25","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-007,CLAIM-013; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:integration; production_path:covered; picked_reason:resource origin must be explicit before HTML loading; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; evidence:explicit app mapping in demo, unmapped app base emits Failed, core/session 2/2 passed; validation_limited:GUI page load unavailable without WindowServer; validation_gap:real mapped resource rendering | source mapping and failure path compile/core/session | page rendering not observed; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; risk:medium"
"TEST-01","P0","7","infra","Remove platform test APIs and migrate coverage","Delete WkWebView/WkWebViewSession testing accessors and replace concrete-type assertions with public behavior or platform-private test helpers.","WHEN source and tests are searched THEN nativeConfigurationForTesting documentTokenForTesting isNativeViewAttachedForTesting nativeViewSizeForTesting and Wk type casts are absent from public/cross-platform paths; WHEN tests run THEN session sharing attachment bridge and cleanup retain equivalent evidence through public behavior or private test fixtures; ref: docs/specs/2026-08-15-portable-webview-contract.md:85","CONTRACT","","","Check removal does not weaken assertions silently; every deleted probe must map to public observable behavior or an explicitly private fixture.","Compare old and new scenario coverage for session sharing, stale token, native attachment bounds and session destruction.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:85; tests/WkSessionTests.mm:39; tests/WkViewTests.mm:374","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-001,CLAIM-014; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:integration; production_path:not_required; picked_reason:remove concrete probes after public behavior exists; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; evidence:concrete test APIs and platform includes removed from tests, core/session 2/2 passed, view target compiles; validation_limited:GUI assertions unavailable without WindowServer; validation_gap:real native geometry and WebKit session internals | public compile/source scan/core/session | GUI and native internals not observed; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; risk:medium"
"BUILD-01","P0","8","infra","Keep backend selection compile-time only","Separate platform CMake source lists and factory macro branches without introducing plugin discovery, backend registration or dynamic loading.","WHEN configuring on macOS THEN only macOS backend sources and frameworks are selected; WHEN the Windows branch is inspected THEN it is compile-time isolated for a later implementation; WHEN repository code is searched THEN no plugin loader backend registry dlopen LoadLibrary or runtime backend selection exists; ref: docs/specs/2026-08-15-portable-webview-contract.md:33","CONTRACT","","","Check common library remains backend-free except the macro factory and current-platform source selection.","Configure/build macOS and statically inspect Windows branch and exported public headers.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:33; CMakeLists.txt:23; src/webview/WebViewFactory.cpp:1","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-002; claim_coverage:15/15; claim_coverage_status:pending; evidence_level:static; production_path:covered; picked_reason:make static platform boundary explicit; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; evidence:macOS configure/build, static no dynamic backend path, compile-time platform definitions, core/session 2/2 passed; risk:low"
"DOC-01","P1","9","infra","Document the final ownership boundaries","Update architecture and README material for public lifecycle, host-owned decisions, resource limits, compile-time platform selection and source-breaking removals.","WHEN documentation is read THEN it distinguishes host public contract and native backend responsibilities, states no compatibility layer exists, and does not claim Windows implementation; WHEN examples are compiled THEN documented APIs match current names; ref: docs/specs/2026-08-15-portable-webview-contract.md:22","CONTRACT","","","Check documentation avoids stronger portability or capability claims than tests establish.","Search for obsolete APIs, concrete-class examples, implicit attachment, backend-owned dialogs and dynamic plugin wording.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:16; docs/ARCHITECTURE.md:1; README.md:1","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-013; claim_coverage:15/15; claim_coverage_status:verified; evidence_level:static; production_path:not_required; picked_reason:document the public replacement before final review; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:git diff --check, obsolete API/source scan, cmake build, core/session tests 2/2 passed; risk:low"
"VALIDATE-01","P0","10","both","Validate the complete public-to-macOS production path","Run clean build and all available tests, verify the demo/public path, record GUI WindowServer evidence or an explicit limitation, and scan all approved invariants.","WHEN a clean macOS build runs THEN core session and view targets compile; WHEN tests run in a GUI-capable session THEN core session view popup first-attachment and bridge scenarios pass; WHEN GUI execution is unavailable THEN core/session results pass and the exact view-test limitation and manual command are recorded without claiming real E2E success; WHEN production demo path is inspected THEN host reaches attach popup file/download/resource contracts only through public interfaces; ref: docs/specs/2026-08-15-portable-webview-contract.md:91","AUTOE2E","","","Verify every prior row is committed and its focused tests pass before broad validation.","Check CLAIM-001 through CLAIM-015 evidence levels, production wiring, no concrete casts, no backend-owned UI decisions and no dynamic backend path.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract.md:91; CMakeLists.txt:51; tests/WkViewTests.mm:112","claim_ledger:20260815_10-21-21-portable-webview-contract.claims.json; claims:CLAIM-003,CLAIM-006,CLAIM-009,CLAIM-010,CLAIM-015; claim_coverage:15/15; claim_coverage_status:verified; evidence_level:integration_limited; production_path:covered; outcome_contract:20260815_10-21-21-portable-webview-contract.outcomes.json; deferred_ledger:20260815_10-21-21-portable-webview-contract.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:cmake --build build/debug clean, ctest core/session 2/2 passed, full ctest 2/3 passed with view abort; validation_limited:no WindowServer or screens; validation_gap:real view/popup geometry and bridge GUI E2E; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; static_scan:claims 15/15, public-only demo/tests, no dynamic backend path; risk:medium"
