"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"API-01","P0","1","backend","Define portable session and view contracts","Replace the page-only public API with explicit session creation, lifecycle events, typed popup handling, and idempotent close semantics. Remove every superseded public entry point.","WHEN public headers are compiled THEN explicit persistent/ephemeral session factories, session-scoped view creation, LoadEvent, NavigationRequest, and typed decisions are available without native platform types; WHEN old symbols are searched THEN standalone createWebView and unrestricted page bridge/popup methods are absent; ref: docs/specs/2026-08-12-webview-session-policy-api.md:114","CONTRACT","","","Check ownership, callback lifetimes, value types, and absence of compatibility aliases.","Build all public consumers and search headers/demo/tests/docs for removed APIs; verify API concepts map to all three documented backends.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:24; src/webview/IWebView.h:12; src/webview/IWebViewSession.h:12; src/webview/WebViewFactory.h:9","execution_scope:approved specification in full; claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-001,CLAIM-002,CLAIM-003,CLAIM-004,CLAIM-007,CLAIM-008,CLAIM-015; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:static; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:public contract unblocks every backend and consumer; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:default-debug build and ctest passed; evidence:public headers contain no native backend types and removed C++ APIs have no production references; risk:medium backend semantics remain assigned to later issues; continue_now:POLICY-01/Implement default policy and bridge envelope validation"
"POLICY-01","P0","1","backend","Implement default policy and bridge envelope validation","Provide portable deny-by-default policy decisions and a versioned, bounded, typed bridge envelope validator usable by every backend.","WHEN URLs and security requests are evaluated THEN HTTPS and explicitly allowed app/file resources follow policy while javascript, malformed, unknown schemes, popups, permissions, downloads, and untrusted bridge origins are denied by default; WHEN envelopes are validated THEN size, version, type, command allowlist, and per-type schema rules are enforced; ref: docs/specs/2026-08-12-webview-session-policy-api.md:68","AUTOSERVER","","","Check all defaults fail closed and schema registration cannot become arbitrary method dispatch.","Run policy and message unit tests including boundary size, wrong version/type/schema, iframe, stale generation, and JSON outbound escaping.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:68; src/webview/WebViewPolicy.h:12; tests/JsonMessageTests.cpp:10","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-005,CLAIM-008,CLAIM-010,CLAIM-012,CLAIM-013,CLAIM-014,CLAIM-018; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:unit; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:security defaults must exist before native delegates consult policy; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:default-debug build and ctest pass policy behavior tests for schemes origins permissions downloads envelope version type schema and size; risk:low native enforcement remains MAC-02; continue_now:MAC-01/Implement macOS session profiles and data clearing"
"MAC-01","P0","2","backend","Implement macOS session profiles and data clearing","Create WKWebView configurations from a session-owned website data store and process pool, with persistent and ephemeral modes and asynchronous data clearing.","WHEN two views are created by one persistent session THEN they share its WKWebsiteDataStore and WKProcessPool but not their user content controllers; WHEN an ephemeral session is created THEN it uses nonPersistentDataStore; WHEN clearing methods complete THEN the matching website records are removed and completion is reported; ref: docs/specs/2026-08-12-webview-session-policy-api.md:116","AUTOSERVER","","","Check Objective-C ownership, per-view controller isolation, profile-path semantics, and completion behavior.","Build macOS backend and run session integration tests for shared native objects, non-persistent store, and each clearing category.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:26; src/platform/macos/WkWebViewSession.mm:10; tests/WkSessionTests.mm:31","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-002,CLAIM-003,CLAIM-016; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:session-owned native resources are prerequisite for lifecycle and popup wiring; assumption:macOS profilePath is a logical identifier because public WKWebsiteDataStore does not support arbitrary persistent directories; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:macOS integration test verifies shared store and process-pool identity separate controllers nonpersistent store and all clearing callbacks; risk:low WKProcessPool is deprecated and has no isolation effect on modern macOS; continue_now:MAC-02/Wire macOS lifecycle navigation popup and bridge security"
"MAC-02","P0","3","backend","Wire macOS lifecycle navigation popup and bridge security","Connect WKNavigationDelegate, WKUIDelegate, and script message handling to the portable contracts with generation-based invalidation and idempotent cleanup.","WHEN macOS navigates THEN ordered Started/Redirected/Committed/Finished/Failed events carry stable navigation ids and stop/reload work; WHEN policy cancels or opens externally THEN WebKit navigation is cancelled and missing handlers fail closed; WHEN a popup is requested THEN policy runs before a session child is created; WHEN bridge messages arrive THEN only the active trusted main frame with valid envelope reaches the host; WHEN close runs twice THEN native resources are released once and no later callback fires; ref: docs/specs/2026-08-12-webview-session-policy-api.md:117","AUTOSERVER","","","Review delegate lifetimes, main-frame detection, navigation id transitions, close ordering, popup ownership, and JSON-only outbound transport.","Run macOS integration scenarios for lifecycle success/failure, navigation rejection, popup rejection, trusted/untrusted frame bridge, stale generation, setHtml policy, and close suppression.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:66; src/platform/macos/WkWebView.mm:69; tests/WkViewTests.mm:11","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-004,CLAIM-005,CLAIM-007,CLAIM-009,CLAIM-010,CLAIM-011,CLAIM-012,CLAIM-013,CLAIM-014,CLAIM-017,CLAIM-018,CLAIM-019; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:highest-risk production wiring after session and policy foundations; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:core and session tests pass in sandbox; evidence:real WKWebView page test passes with WindowServer and verifies lifecycle navigation rejection popup rejection main-frame-only trusted bridge invalid envelope and idempotent close; validation_limited:GUI page test requires WindowServer and cannot run inside restricted sandbox; risk:medium redirect-specific and failure-event branches are delegate-mapped but not covered by a deterministic local HTTP server; continue_now:APP-01/Migrate demo host to explicit session ownership"
"APP-01","P1","4","both","Migrate demo host to explicit session ownership","Make the sample retain one session for all tabs, install policy and host callbacks, and close each view before its tab surface is destroyed.","WHEN the demo starts and opens a permitted popup THEN both tabs originate from the retained session; WHEN a tab closes THEN its view closes before QWidget destruction; WHEN old calls are searched THEN the demo contains none; ref: docs/specs/2026-08-12-webview-session-policy-api.md:122","AUTOSERVER","","","Check C++ ownership order and ensure callback captures cannot outlive the window or page.","Build the demo and verify its production creation, popup, message, and tab-close paths use session-created views.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:39; samples/demo/DemoWindow.cpp:34; samples/demo/resources/demo.html:15","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-001,CLAIM-006,CLAIM-020; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:demo is the production consumer proving session host ownership; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:demo builds with explicit ephemeral session trusted app origin versioned envelope shared popup session and WebViewTab close-before-destruction; evidence:removed API scan is empty; risk:low interactive demo is not manually launched because GUI behavior is covered by WKWebView integration test; continue_now:TEST-01/Add contract and macOS integration coverage"
"TEST-01","P0","5","backend","Add contract and macOS integration coverage","Create automated evidence for portable policy/envelope behavior and macOS session, lifecycle, navigation, popup, bridge, generation, and close behavior.","WHEN ctest runs on macOS THEN unit and integration suites cover every acceptance category in the approved spec and pass without network access; WHEN a native scenario cannot be made deterministic THEN the test and evidence explicitly state the limitation rather than substituting a lower-level claim; ref: docs/specs/2026-08-12-webview-session-policy-api.md:121","AUTOSERVER","","","Review tests for behavioral assertions rather than source-string assertions and ensure failures identify the violated contract.","Run a clean configure/build/ctest and compare test coverage against CLAIM-001 through CLAIM-020, distinguishing unit, integration, and static evidence.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:121; tests/JsonMessageTests.cpp:1; tests/WkSessionTests.mm:31; tests/WkViewTests.mm:49","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-020; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:close remaining evidence gaps before documentation and vision review; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:clean configure and build succeeded; evidence:core unit tests session integration tests and real WKWebView loopback integration tests pass; evidence:redirect failure stable navigation ids generation invalidation policy bridge popup close and data clearing covered without external network; validation_limited:WKWebView page suite needs WindowServer and was run outside restricted sandbox; risk:low WKProcessPool deprecation warnings are expected and documented next; continue_now:DOC-01/Document portable semantics and migration"
"DOC-01","P1","5","infra","Document portable semantics and migration","Update architecture and README material to define the four-layer ownership model, three backend mappings, security defaults, semantic limits, and source-breaking migration.","WHEN documentation is read THEN it states session/profile ownership, lifecycle and close ordering, policy defaults, bridge restrictions, all three backend mappings, capability limits, and removal of legacy APIs; ref: docs/specs/2026-08-12-webview-session-policy-api.md:123","CONTRACT","","","Check documentation matches implemented names and does not claim the two future backends are implemented.","Build documented examples and search for obsolete API names or platform guarantees stronger than the implementation.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:82; docs/ARCHITECTURE.md:1; README.md:1","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-015,CLAIM-020; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:static; production_path:not_required; out_of_scope:Non-goals;WebView2 and WebKit2GTK implementations, universal download manager, and stronger-than-platform process isolation; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:publish exact semantics and evidence limits before closing review; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:README commands configure and build; evidence:architecture documents ownership lifecycle policy bridge mappings migration logical profilePath and WKProcessPool deprecation; evidence:obsolete API scan empty and future backends explicitly unimplemented; risk:low; continue_now:REVIEW-01/Review documented vision against delivered work"
"REVIEW-01","P0","6","review","Review documented vision against delivered work","Compare approved-spec claims with delivered behavior, evidence level, CSV state, validation evidence, and review log, then produce the human handoff.","WHEN all non-review issues before this row are closed THEN try reviewer-subagent, codex-exec-independent, then self-review and classify every finding; WHEN a current-scope gap or overstated claim is found THEN append follow-up issues and REVIEW-02; WHEN a deferred improvement or future decision is found THEN write it to the deferred ledger without appending an issue; WHEN no current-scope gaps remain THEN close the CSV after completed review and handoff.","MANUAL","","","Verify all prior non-review rows are closed before running this review.","Read every claim in the ledger and verify coverage, production wiring, and evidence level; verify explicit session creation and legacy API removal; verify macOS shared/ephemeral profile behavior; verify lifecycle, popup, navigation, bridge-origin, envelope, generation, and close semantics; verify the demo production path and three-backend portability documentation; answer every Outcome Contract reader question without claiming future backends are implemented.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:1","review_kind:vision; review_agent_mode:self-review; review_independence:false; review_requested_model:gpt-5.6-sol; review_observed_model:unknown; review_model_evidence:unknown; source_doc:docs/specs/2026-08-12-webview-session-policy-api.md; claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claim_coverage:18/20; claim_coverage_status:gaps; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; review_json:reviews/review-01.json; picked_reason:all prior non-review issues are closed; review_result:gaps_found; handoff:2026-08-12_21-42-53-webview-session-policy-api.handoff.md; handoff_humanized:true; deferred_coverage:0/0; validation_limited:reviewer subagent timed out and codex exec could not initialize read-only state database; done_at:2026-08-12; continue_now:FOLLOWUP-01/Pass outbound bridge payloads as native JavaScript arguments"
"FOLLOWUP-01","P0","7","backend","Pass outbound bridge payloads as native JavaScript arguments","Remove data interpolation from the macOS native-to-page transport and use WebKit argument binding for the validated envelope.","WHEN sendMessage runs on a trusted committed document THEN the envelope is passed as a native JavaScript argument and no payload bytes are inserted into executable source; WHEN the required WebKit API is unavailable THEN completion returns Unsupported; WHEN a hostile string containing script syntax is sent THEN it arrives as data and does not execute; ref: docs/specs/2026-08-12-webview-session-policy-api.md:78","AUTOSERVER","","","Check availability handling, main-frame content world selection, completion generation checks, and absence of payload interpolation.","Run the real WKWebView test with a hostile payload and verify it is received intact while no injected side effect occurs; search production sendMessage for JSON-to-source interpolation.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:78; src/platform/macos/WkWebView.mm:415; tests/WkViewTests.mm:113","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-013; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:first review gap directly violates bridge source-interpolation contract; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:callAsyncJavaScript fixed body uses Foundation argument binding; evidence:hostile script payload round-trips unchanged and does not set execution flag in real WKWebView test; evidence:no JSON-to-source interpolation scan matches; validation_limited:real page test requires WindowServer; risk:low macOS before 11 returns typed Unsupported; continue_now:FOLLOWUP-02/Route macOS permissions and downloads through policy"
"FOLLOWUP-02","P0","7","backend","Route macOS permissions and downloads through policy","Map native media, file-picker, and download callbacks into typed WebViewPolicy decisions while retaining fail-closed fallbacks.","WHEN WebKit requests camera microphone file selection or a navigation download THEN WebViewPolicy receives a typed request and its Allow Deny or Unsupported decision is mapped explicitly; WHEN no capability or handler exists THEN the request is denied or cancelled; ref: docs/specs/2026-08-12-webview-session-policy-api.md:80","AUTOSERVER","","","Check every implemented native permission and download delegate path consults policy and does not silently grant unsupported capabilities.","Build against the current macOS SDK; unit-test policy mapping helpers for allow deny unsupported and download allow cancel; statically verify native callbacks call those helpers.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-12-webview-session-policy-api.md:80; src/platform/macos/WkWebView.mm:195; src/platform/macos/WkWebViewSession.mm:75; tests/JsonMessageTests.cpp:84","claim_ledger:2026-08-12_21-42-53-webview-session-policy-api.claims.json; claims:CLAIM-005,CLAIM-014; claim_coverage:20/20; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-08-12_21-42-53-webview-session-policy-api.outcomes.json; deferred_ledger:2026-08-12_21-42-53-webview-session-policy-api.deferred.json; picked_reason:second review gap bypasses centralized policy contract; done_at:2026-08-12; skills_used:mission-csv-execute; mcp_used:none; evidence:clean build and all non-GUI tests pass; evidence:permission allow deny unsupported and download allow cancel mapping unit tests pass; evidence:session capability tests report unsupported categories explicitly; evidence:native media file-picker action-download and response-download callbacks call policy; evidence:real WKWebView page regression passes; validation_limited:OS permission prompts file-panel allow path and actual download destination are not automated because the mission excludes universal host UI/download management; risk:low; continue_now:REVIEW-02/Re-review security gaps and delivered vision"
