"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"CALLBACK-01","P0","1","backend","Define safe host completion contracts","Replace path-list file completion with structured outcomes and add a shared one-shot lifetime-aware completion primitive without compatibility overloads.","WHEN a completion is invoked repeatedly or after Failed/Closed THEN only the first valid result is delivered and later calls do not dereference owner state; WHEN file results violate count or path-kind constraints THEN InvalidResult is observable; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:36","CONTRACT","","","Check the primitive owns no platform pointer, does not extend view lifetime, and reports all terminal states exactly once.","Test Selected Cancelled Closed InvalidResult duplicate calls and owner destruction; scan public headers for the removed path-list completion.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:36; src/webview/WebViewTypes.h:91; src/webview/WebViewState.h:12","execution_scope:approved spec全文; claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-001,CLAIM-003,CLAIM-014; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:unit; production_path:not_required; picked_reason:blocks every asynchronous host callback; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json; out_of_scope:Non-goals;Windows WebView2 backend vcpkg Runtime publication dynamic plugins; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:structured file outcomes and weak one-shot guard unit coverage; core/session 2/2 passed; risk:low"
"CALLBACK-02","P0","2","backend","Wire macOS completion lifetime and UI dispatch","Use weak state and the shared completion primitive in the macOS file-selection delegate, dispatching native completion to the owning UI thread.","WHEN host retains completion past close or destruction THEN no raw state is dereferenced and WK handler is not called late; WHEN host completes from a worker thread THEN WK completion runs on the view UI thread; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:38","AUTOE2E","","","Check Objective-C blocks capture weak/shared lifetime state rather than WebViewState* or WkWebView* and avoid nested event loops.","Exercise duplicate delayed post-close post-destruction and worker-thread completion through the production delegate path; retain GUI limitation if WindowServer is absent.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:38; src/platform/macos/WkWebView.mm:258","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-001,CLAIM-002; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:integration; production_path:covered; picked_reason:compile migration and UAF fix share the completion contract boundary; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:weak guard plus QPointer queued UI dispatch builds and core/session 2/2 passed; validation_limited:no WindowServer or screens for production delegate E2E; validation_gap:worker-thread WK completion observation | source wiring and build/unit regression | real WK delegate thread not observed; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; risk:medium"
"INIT-01","P0","3","backend","Define ordered initialization scheduling","Refine the shared initialization scheduler so each queued operation receives Ready Failed or Closed and preserves submission order.","WHEN operations queue during Initializing THEN Ready executes them in order; WHEN initialization fails or closes THEN each operation receives a typed terminal result and does not run success work; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:46","CONTRACT","","","Check transitions are monotonic, reentrant callbacks cannot reorder the saved queue, and repeated terminal calls are idempotent.","Cover Ready Failed Closed ordering reentrancy and calls submitted after terminal state.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:46; src/webview/WebViewState.cpp:10","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-005,CLAIM-006; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:unit; production_path:not_required; picked_reason:shared scheduler is prerequisite for view and session wiring; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:ordered reentrant InitializationScheduler unit coverage and core/session 2/2 passed; risk:low"
"INIT-02","P0","4","backend","Route production operations through initialization scheduling","Wire macOS attach load setHtml and session data clearing through the common scheduler with operation-specific failure mapping.","WHEN production IWebView/IWebViewSession methods are called during Initializing THEN they queue through the shared scheduler and Ready executes in order; WHEN Failed or Closed THEN attach avoids native creation load/setHtml emit Failed with stable navigation IDs and clear callbacks return WebsiteDataResult errors; stop/reload remain no-op; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:48","AUTOSERVER","","","Check every documented operation consumes the shared scheduler and no platform method retains a private initialization queue.","Run view/session tests for Ready Failed Closed and inspect production paths for direct bypasses; verify macOS synchronous Ready remains behaviorally unchanged.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:48; src/platform/macos/WkWebView.mm:523; src/platform/macos/WkWebViewSession.mm:64","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-005,CLAIM-006,CLAIM-007; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:integration; production_path:covered; picked_reason:production wiring immediately follows shared scheduler; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:macOS attach load setHtml and session clear consume shared scheduler; build and core/session 2/2 passed; risk:medium"
"RESOURCE-01","P0","5","backend","Validate portable resource mappings","Normalize and validate app origins and canonical local roots at session creation, rejecting invalid duplicate or inaccessible mappings with initialization failure.","WHEN a mapping uses a non-app scheme empty host path query fragment nonexistent root non-directory or duplicate origin THEN session initialization is Failed with field/origin detail; WHEN valid THEN canonical root is retained; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:59","CONTRACT","","","Check validation does not broaden navigation or bridge authority and canonicalization handles symlinks deterministically.","Cover every invalid field duplicate origins valid roots and session initialization result text.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:59; src/webview/WebViewTypes.h:69; src/platform/macos/WkWebViewSession.mm:20","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-008; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:unit; production_path:not_required; picked_reason:mapping validation must precede scheme handler registration; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:common validation covers invalid duplicate canonical roots traversal and symlink escape; invalid session reports Failed; core/session 2/2 passed; risk:medium"
"RESOURCE-02","P0","6","backend","Serve mapped app resources on macOS","Implement a private WKURLSchemeHandler backed by validated mappings and connect it to session configurations and setHtml.","WHEN mapped app HTML requests relative CSS JavaScript images or fetch THEN the production WKWebView receives content and deterministic MIME types; WHEN request escapes root uses encoded traversal resolves through symlink outside root targets a directory or missing file THEN the scheme task fails without file disclosure; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:63","AUTOE2E","","","Check handler/task ownership is close-safe, mapping roots stay private, and policy/bridge authority is not inferred from filesystem access.","Run real mapped-resource page tests including relative assets fetch traversal encoding symlink directory missing file and close races; record no-WindowServer limitation honestly.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:63; src/platform/macos/WkWebView.mm:40; src/platform/macos/WkWebViewSession.mm:55","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-009,CLAIM-010; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:real_e2e; production_path:covered; picked_reason:production scheme wiring follows validated mapping model; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:WKURLSchemeHandler registered on every session configuration and serves canonical in-root files with MIME; validation_limited:no WindowServer or screens for real mapped page E2E; validation_gap:relative CSS JS image fetch in WKWebView | handler source/build and resolver security tests | actual WebKit page requests not observed; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; risk:medium"
"POPUP-01","P0","7","backend","Make popup ownership unambiguous","Replace NewWindowDisposition plus WebViewPtr reference with one source-breaking result protocol whose valid states cannot disagree about child ownership.","WHEN host rejects is absent or destroys the offered child THEN native popup is cancelled and child closes; WHEN host accepts THEN it owns an attached child in final layout and backend returns the matching native view; WHEN public types compile THEN contradictory moved-plus-Rejected or retained-plus-Accepted states are not expressible; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:67","AUTOE2E","","","Check the API has one authority for acceptance, synchronous WK requirements remain private, and no compatibility callback survives.","Cover accept reject missing callback dropped child session close and public/demo/test source scans.","已完成","已完成","已完成","已提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:67; src/webview/WebViewTypes.h:124; src/platform/macos/WkWebView.mm:694","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-011,CLAIM-014; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:integration; production_path:covered; picked_reason:removes contradictory ownership states before more async API changes; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json; done_at:2026-08-15; skills_used:mission,mission-csv-execute; mcp_used:none; evidence:source-breaking by-value child ownership compiles in demo/tests and core/session 2/2 passed; validation_limited:no WindowServer or screens for real popup acceptance; validation_gap:real WK popup ownership and geometry | public API/source/build checks | GUI popup not observed; manual_test:./build/debug/webview_macos_view_tests in logged-in GUI session; risk:medium"
"DOWNLOAD-01","P0","8","backend","Make download target resolution asynchronous","Replace synchronous resolveDownload with a structured one-shot asynchronous host completion and wire macOS download decisions through UI-thread dispatch.","WHEN policy allows a download THEN host may asynchronously return Cancel BrowserDefault or TargetPath without blocking Qt; WHEN completion is duplicate late closed or cross-thread THEN shared lifetime/dispatch rules apply; WHEN old synchronous resolver is searched THEN no overload remains; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:44","AUTOSERVER","","","Check policy authorization precedes host resolution, missing resolver cancels, and unsupported TargetPath is explicit.","Cover all target modes missing callback duplicate close and worker-thread completion; verify capability results match actual runtime behavior.","未开始","未开始","未开始","未提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:44; src/webview/WebViewTypes.h:85; src/platform/macos/WkWebView.mm:64","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-002,CLAIM-004,CLAIM-014; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json"
"ORIGIN-01","P1","9","backend","Normalize origins and correct capability semantics","Add one common origin normalizer used by permission file download and bridge requests, add documentUrl where needed, and make capability queries independent from selected session configuration.","WHEN the same document reaches file download permission or bridge paths THEN origin is identical lower-case scheme host and valid explicit port with no userinfo path query fragment while documentUrl retains the full URL; WHEN capabilitySupport is queried THEN mapping and both profile modes reflect backend/runtime support rather than current options; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:73","CONTRACT","","","Check default ports and invalid URLs are deterministic, origin changes do not grant wider policy/bridge authority, and capability still honors runtime versions.","Cover URL variants across every request type, current session modes, empty/nonempty mappings, runtime-gated media/download modes and source scans.","未开始","未开始","未开始","未提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:73; src/webview/WebViewPolicy.cpp:8; src/platform/macos/WkWebViewSession.mm:93","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-012,CLAIM-013; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json"
"VALIDATE-01","P0","10","both","Validate hardened production contracts","Build all targets run available tests and scan public/demo/platform boundaries while preserving exact GUI limitations.","WHEN clean macOS build and non-GUI suites run THEN core/session targets pass; WHEN GUI session is available THEN completion initialization popup mapping and bridge E2E pass; WHEN unavailable THEN exact WindowServer limitation and manual command are recorded without claiming real E2E; WHEN repository is scanned THEN no native public leaks old overloads or dynamic backend path exists; ref: docs/specs/2026-08-15-portable-webview-contract-hardening.md:97","AUTOE2E","","","Verify every prior issue is committed and its strongest focused evidence matches the claim level before broad validation.","Check CLAIM-001 through CLAIM-016 line by line, production wiring, evidence levels, source-breaking removals, host ownership and compile-time selection.","未开始","未开始","未开始","未提交","","docs/specs/2026-08-15-portable-webview-contract-hardening.md:97; CMakeLists.txt:20; tests/WkViewTests.mm:1","claim_ledger:20260815_13-28-50-portable-webview-contract-hardening.claims.json; claims:CLAIM-015,CLAIM-016; claim_coverage:16/16; claim_coverage_status:pending; evidence_level:real_e2e; production_path:covered; outcome_contract:20260815_13-28-50-portable-webview-contract-hardening.outcomes.json; deferred_ledger:20260815_13-28-50-portable-webview-contract-hardening.deferred.json"
